Tag,Name,Keyword,VR,VM,Remarks,Tag_cleaned
"(0008,0001)",Length to End,Length​To​End,UL,1,RET,00080001
"(0008,0005)",Specific Character Set,Specific​Character​Set,CS,1-n,,00080005
"(0008,0006)",Language Code Sequence,Language​Code​Sequence,SQ,1,,00080006
"(0008,0008)",Image Type,Image​Type,CS,2-n,,00080008
"(0008,0010)",Recognition Code,Recognition​Code,SH,1,RET,00080010
"(0008,0012)",Instance Creation Date,Instance​Creation​Date,DA,1,,00080012
"(0008,0013)",Instance Creation Time,Instance​Creation​Time,TM,1,,00080013
"(0008,0014)",Instance Creator UID,Instance​Creator​UID,UI,1,,00080014
"(0008,0015)",Instance Coercion DateTime,Instance​Coercion​Date​Time,DT,1,,00080015
"(0008,0016)",SOP Class UID,SOP​Class​UID,UI,1,,00080016
"(0008,0017)",Acquisition UID,Acquisition​UID,UI,1,,00080017
"(0008,0018)",SOP Instance UID,SOP​Instance​UID,UI,1,,00080018
"(0008,0019)",Pyramid UID,Pyramid​UID,UI,1,,00080019
"(0008,001A)",Related General SOP Class UID,Related​General​SOP​Class​UID,UI,1-n,,0008001A
"(0008,001B)",Original Specialized SOP Class UID,Original​Specialized​SOP​Class​UID,UI,1,,0008001B
"(0008,001C)",Synthetic Data,Synthetic​Data,CS,1,,0008001C
"(0008,0020)",Study Date,Study​Date,DA,1,,00080020
"(0008,0021)",Series Date,Series​Date,DA,1,,00080021
"(0008,0022)",Acquisition Date,Acquisition​Date,DA,1,,00080022
"(0008,0023)",Content Date,Content​Date,DA,1,,00080023
"(0008,0024)",Overlay Date,Overlay​Date,DA,1,RET (2004),00080024
"(0008,0025)",Curve Date,Curve​Date,DA,1,RET (2004),00080025
"(0008,002A)",Acquisition DateTime,Acquisition​Date​Time,DT,1,,0008002A
"(0008,0030)",Study Time,Study​Time,TM,1,,00080030
"(0008,0031)",Series Time,Series​Time,TM,1,,00080031
"(0008,0032)",Acquisition Time,Acquisition​Time,TM,1,,00080032
"(0008,0033)",Content Time,Content​Time,TM,1,,00080033
"(0008,0034)",Overlay Time,Overlay​Time,TM,1,RET (2004),00080034
"(0008,0035)",Curve Time,Curve​Time,TM,1,RET,00080035
"(0008,0040)",Data Set Type,Data​Set​Type,US,1,RET (2004),00080040
"(0008,0041)",Data Set Subtype,Data​Set​Subtype,LO,1,RET (2004),00080041
"(0008,0042)",Nuclear Medicine Series Type,Nuclear​Medicine​Series​Type,CS,1,RET (2004),00080042
"(0008,0050)",Accession Number,Accession​Number,SH,1,,00080050
"(0008,0051)",Issuer of Accession Number Sequence,Issuer​Of​Accession​Number​Sequence,SQ,1,,00080051
"(0008,0052)",Query/Retrieve Level,Query​Retrieve​Level,CS,1,,00080052
