concept_id_1,concept_id_2,relationship_id
2128009384,37303869,Maps to
2128009385,37303868,Maps to
2128009386,4301737,Maps to
2128009387,4311928,Maps to
2128009388,4051774,Maps to
2128009389,4297445,Maps to
2128009390,4289928,Maps to
2128009391,4029825,Maps to
2128009392,4111562,Maps to
2128009393,4244586,Maps to
2128009394,4196047,Maps to
2128009395,4066409,Maps to
2128009396,4238551,Maps to
2128009397,4005339,Maps to
2128009398,4049896,Maps to
2128009399,4211548,Maps to
2128009400,4283683,Maps to
2128009401,4199457,Maps to
2128009402,4183988,Maps to
2128009403,4234702,Maps to
2128009404,4238919,Maps to
2128009405,4239013,Maps to
2128009406,4288602,Maps to
2128009407,4218136,Maps to
2128009408,4300776,Maps to
2128009409,4239789,Maps to
2128009410,4154158,Maps to
2128009411,4146820,Maps to
2128009412,4232481,Maps to
2128009413,4004974,Maps to
2128009414,4063510,Maps to
2128009415,4067169,Maps to
2128009416,4133034,Maps to
2128009417,4298444,Maps to
2128009418,4317407,Maps to
2128009419,4263335,Maps to
2128009420,4196052,Maps to
2128009421,4201893,Maps to
2128009422,4286359,Maps to
2128009423,4063553,Maps to
2128009424,4239981,Maps to
2128009425,4047437,Maps to
2128009426,4034048,Maps to
2128009427,4227577,Maps to
2128009428,4157335,Maps to
2128009429,4046743,Maps to
2128009430,37153362,Maps to
2128009431,4325271,Maps to
2128009432,4246169,Maps to
2128009433,4184181,Maps to
2128009434,4218016,Maps to
2128009435,4211812,Maps to
2128009436,4216205,Maps to
2128009437,4012183,Maps to
2128009438,4197120,Maps to
2128009439,4276201,Maps to
2128009440,4215634,Maps to
2128009441,4197082,Maps to
2128009442,4135703,Maps to
2128009443,4109754,Maps to
2128009444,4288094,Maps to
2128009445,4249294,Maps to
2128009446,4187680,Maps to
2128009447,4102766,Maps to
2128009448,4219982,Maps to
2128009449,4234539,Maps to
2128009450,4093066,Maps to
2128009451,4139456,Maps to
2128009452,4302112,Maps to
2128009453,4037611,Maps to
2128009454,4061414,Maps to
2128009455,4199457,Maps to
2128009456,4217142,Maps to
2128009457,4140098,Maps to
2128009458,4099331,Maps to
2128009459,4200560,Maps to
2128009460,4078200,Maps to
2128009461,4144541,Maps to
2128009462,4271678,Maps to
2128009463,4337115,Maps to
2128009464,4029306,Maps to
2128009465,4296022,Maps to
2128009466,4242893,Maps to
2128009467,4104340,Maps to
2128009468,4168010,Maps to
2128009469,4242541,Maps to
2128009470,4227148,Maps to
2128009471,4101855,Maps to
2128009472,4140098,Maps to
2128009473,4223398,Maps to
2128009474,4318955,Maps to
2128009475,4034036,Maps to
2128009476,4270755,Maps to
2128009477,4325450,Maps to
2128009478,4282006,Maps to
2128009479,4305329,Maps to
2128009480,4196657,Maps to
2128009481,4232301,Maps to
2128009482,4046446,Maps to
2128009483,4297788,Maps to
2128009484,4308414,Maps to
2128009485,4323581,Maps to
2128009491,4337676,Maps to
2128009492,4192373,Maps to
2128009493,4242421,Maps to
2128009494,4194058,Maps to
2128009495,4211098,Maps to
2128009496,4032953,Maps to
2128009497,4261524,Maps to
2128009498,4151384,Maps to
2128009499,4005975,Maps to
2128009500,4029828,Maps to
2128009501,4104311,Maps to
2128009502,4263335,Maps to
2128009503,4245620,Maps to
2128009504,4310976,Maps to
2128009505,4287390,Maps to
2128009506,4300167,Maps to
2128009507,4217142,Maps to
2128009508,4328345,Maps to
2128009509,4233953,Maps to
2128009510,4082516,Maps to
2128009511,4224516,Maps to
2128009512,4035235,Maps to
2128009513,4218592,Maps to
2128009514,4144672,Maps to
2128009515,4012567,Maps to
2128009516,4088187,Maps to
2128009517,4329573,Maps to
2128009518,4142926,Maps to
2128009519,4271699,Maps to
2128009520,4098586,Maps to
2128009521,4131757,Maps to
2128009522,4229590,Maps to
2128009523,4234601,Maps to
2128009524,4312338,Maps to
2128009525,4233369,Maps to
2128009526,4006845,Maps to
2128009527,4239527,Maps to
2128009528,4003337,Maps to
2128009529,4281237,Maps to
2128009530,4065077,Maps to
2128009531,4214466,Maps to
2128009532,4271678,Maps to
2128009533,4217806,Maps to
2128009534,4245851,Maps to
2128009535,4033554,Maps to
2128009536,4262229,Maps to
2128009537,4280490,Maps to
2128009538,4220705,Maps to
2128009539,4034037,Maps to
2128009540,4167582,Maps to
2128009541,4047399,Maps to
2128009542,4224647,Maps to
2128009543,4285903,Maps to
2128009544,620013,Maps to
2128009545,4321695,Maps to
2128009546,4196677,Maps to
2128009547,4314121,Maps to
2128009548,4339094,Maps to
2128009549,4011865,Maps to
2128009550,4009105,Maps to
2128009551,4107527,Maps to
2128009552,4267861,Maps to
2128009553,4144813,Maps to
2128009554,4200862,Maps to
2128009555,4045660,Maps to
2128009556,37153359,Maps to
2128009557,4240514,Maps to
2128009558,4213162,Maps to
2128009559,4240393,Maps to
2128009560,4240970,Maps to
2128009561,4324391,Maps to
2128009562,4216544,Maps to
2128009563,4314264,Maps to
2128009564,4029960,Maps to
2128009565,4066167,Maps to
2128009566,4157087,Maps to
2128009567,4348586,Maps to
2128009568,4047651,Maps to
2128009569,4237397,Maps to
2128009570,4260843,Maps to
2128009571,4219536,Maps to
2128009572,4166736,Maps to
2128009573,4214793,Maps to
2128009574,4164276,Maps to
2128009575,4150524,Maps to
2128009576,4136817,Maps to
2128009577,4205853,Maps to
2128009578,4204526,Maps to
2128009579,4179706,Maps to
2128009580,4049448,Maps to
2128009581,4049768,Maps to
2128009582,4289618,Maps to
2128009583,4004676,Maps to
2128009584,4240668,Maps to
2128009585,4006785,Maps to
2128009586,4166063,Maps to
2128009587,4271834,Maps to
2128009588,37303886,Maps to
2128009589,37157694,Maps to
2128009590,4106213,Maps to
2128009591,4077311,Maps to
2128009592,4304791,Maps to
2128009593,4339212,Maps to
2128009594,45768287,Maps to
2128009595,4207370,Maps to
2128009596,4194306,Maps to
2128009597,4299940,Maps to
2128009598,4184947,Maps to
2128009599,4138531,Maps to
2128009600,4211384,Maps to
2128009601,4138976,Maps to
2128009602,4323126,Maps to
2128009603,4182275,Maps to
2128009604,4028232,Maps to
2128009605,4136495,Maps to
2128009606,4052085,Maps to
2128009607,4165732,Maps to
2128009608,4215757,Maps to
2128009609,4046592,Maps to
2128009610,4164917,Maps to
2128009611,4266067,Maps to
2128009612,4005964,Maps to
2128009613,4207210,Maps to
2128009614,4144541,Maps to
2128009615,4154880,Maps to
2128009616,4208703,Maps to
2128009617,4220536,Maps to
2128009618,4011851,Maps to
2128009619,4250014,Maps to
2128009620,4288316,Maps to
2128009621,4159073,Maps to
2128009622,4047529,Maps to
2128009623,4289544,Maps to
2128009624,4174976,Maps to
2128009625,620014,Maps to
2128009626,4251612,Maps to
2128009627,4302733,Maps to
2128009628,4196689,Maps to
2128009629,4203162,Maps to
2128009630,4219320,Maps to
2128009631,4185240,Maps to
2128009632,4029962,Maps to
2128009633,4235177,Maps to
2128009634,4213244,Maps to
2128009635,4196209,Maps to
2128009636,4091162,Maps to
2128009637,4066714,Maps to
2128009638,4174391,Maps to
2128009639,4277442,Maps to
2128009640,4243197,Maps to
2128009641,4061541,Maps to
2128009642,4244588,Maps to
2128009643,4230029,Maps to
2128009644,4146765,Maps to
2128009645,4099912,Maps to
2128009646,4227378,Maps to
2128009647,4302605,Maps to
2128009648,4328894,Maps to
2128009649,4147745,Maps to
2128009650,4301231,Maps to
2128009651,4211392,Maps to
2128009652,4288283,Maps to
2128009653,4272388,Maps to
2128009654,4311330,Maps to
2128009655,4025160,Maps to
2128009656,4202683,Maps to
2128009657,4111596,Maps to
2128009658,4265017,Maps to
2128009659,4184940,Maps to
2128009660,4172495,Maps to
2128009661,4313432,Maps to
2128009662,4216230,Maps to
2128009663,4167648,Maps to
2128009664,4298964,Maps to
2128009665,4035235,Maps to
2128009666,4202366,Maps to
2128009667,4238088,Maps to
2128009668,4175342,Maps to
2128009669,4285289,Maps to
2128009670,4173271,Maps to
2128009671,4014548,Maps to
2128009672,4047490,Maps to
2128009673,37153361,Maps to
2128009674,4184181,Maps to
2128009675,4297767,Maps to
2128009676,4321259,Maps to
2128009677,4321375,Maps to
2128009678,4054327,Maps to
2128009679,4005324,Maps to
2128009680,4106395,Maps to
2128009681,4071678,Maps to
2128009682,4195956,Maps to
2128009683,4004164,Maps to
2128009684,4171827,Maps to
2128009685,4050857,Maps to
2128009686,4261482,Maps to
2128009687,4196669,Maps to
2128009688,4234841,Maps to
2128009689,4107865,Maps to
2128009690,4165266,Maps to
2128009691,4200396,Maps to
2128009692,4160719,Maps to
2128009693,4337115,Maps to
2128009694,4029306,Maps to
2128009695,4149192,Maps to
2128009696,4296022,Maps to
2128009697,4104340,Maps to
2128009698,4310816,Maps to
2128009699,4166066,Maps to
2128009700,4254083,Maps to
2128009701,4029142,Maps to
