,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
0,2128100001,Length to End,Measurement,DICOM,DICOM Attributes,,00080001,19930101,20991231,
1,2128100002,Specific Character Set,Measurement,DICOM,DICOM Attributes,,00080005,19930101,20991231,
2,2128100003,Language Code Sequence,Measurement,DICOM,DICOM Attributes,,00080006,19930101,20991231,
3,2128100004,Image Type,Measurement,DICOM,DICOM Attributes,,00080008,19930101,20991231,
4,2128100005,Recognition Code,Measurement,DICOM,DICOM Attributes,,00080010,19930101,20991231,
5,2128100006,Instance Creation Date,Measurement,DICOM,DICOM Attributes,,00080012,19930101,20991231,
6,2128100007,Instance Creation Time,Measurement,DICOM,DICOM Attributes,,00080013,19930101,20991231,
7,2128100008,Instance Creator UID,Measurement,DICOM,DICOM Attributes,,00080014,19930101,20991231,
8,2128100009,Instance Coercion DateTime,Measurement,DICOM,DICOM Attributes,,00080015,19930101,20991231,
9,2128100010,SOP Class UID,Measurement,DICOM,DICOM Attributes,,00080016,19930101,20991231,
10,2128100011,Acquisition UID,Measurement,DICOM,DICOM Attributes,,00080017,19930101,20991231,
11,2128100012,SOP Instance UID,Measurement,DICOM,DICOM Attributes,,00080018,19930101,20991231,
12,2128100013,Pyramid UID,Measurement,DICOM,DICOM Attributes,,00080019,19930101,20991231,
13,2128100014,Related General SOP Class UID,Measurement,DICOM,DICOM Attributes,,0008001A,19930101,20991231,
14,2128100015,Original Specialized SOP Class UID,Measurement,DICOM,DICOM Attributes,,0008001B,19930101,20991231,
15,2128100016,Synthetic Data,Measurement,DICOM,DICOM Attributes,,0008001C,19930101,20991231,
16,2128100017,Study Date,Measurement,DICOM,DICOM Attributes,,00080020,19930101,20991231,
17,2128100018,Series Date,Measurement,DICOM,DICOM Attributes,,00080021,19930101,20991231,
18,2128100019,Acquisition Date,Measurement,DICOM,DICOM Attributes,,00080022,19930101,20991231,
19,2128100020,Content Date,Measurement,DICOM,DICOM Attributes,,00080023,19930101,20991231,
20,2128100021,Overlay Date,Measurement,DICOM,DICOM Attributes,,00080024,19930101,20991231,
21,2128100022,Curve Date,Measurement,DICOM,DICOM Attributes,,00080025,19930101,20991231,
22,2128100023,Acquisition DateTime,Measurement,DICOM,DICOM Attributes,,0008002A,19930101,20991231,
23,2128100024,Study Time,Measurement,DICOM,DICOM Attributes,,00080030,19930101,20991231,
24,2128100025,Series Time,Measurement,DICOM,DICOM Attributes,,00080031,19930101,20991231,
25,2128100026,Acquisition Time,Measurement,DICOM,DICOM Attributes,,00080032,19930101,20991231,
26,2128100027,Content Time,Measurement,DICOM,DICOM Attributes,,00080033,19930101,20991231,
27,2128100028,Overlay Time,Measurement,DICOM,DICOM Attributes,,00080034,19930101,20991231,
28,2128100029,Curve Time,Measurement,DICOM,DICOM Attributes,,00080035,19930101,20991231,
29,2128100030,Data Set Type,Measurement,DICOM,DICOM Attributes,,00080040,19930101,20991231,
30,2128100031,Data Set Subtype,Measurement,DICOM,DICOM Attributes,,00080041,19930101,20991231,
31,2128100032,Nuclear Medicine Series Type,Measurement,DICOM,DICOM Attributes,,00080042,19930101,20991231,
32,2128100033,Accession Number,Measurement,DICOM,DICOM Attributes,,00080050,19930101,20991231,
33,2128100034,Issuer of Accession Number Sequence,Measurement,DICOM,DICOM Attributes,,00080051,19930101,20991231,
34,2128100035,Query/Retrieve Level,Measurement,DICOM,DICOM Attributes,,00080052,19930101,20991231,
35,2128100036,Query/Retrieve View,Measurement,DICOM,DICOM Attributes,,00080053,19930101,20991231,
36,2128100037,Retrieve AE Title,Measurement,DICOM,DICOM Attributes,,00080054,19930101,20991231,
37,2128100038,Station AE Title,Measurement,DICOM,DICOM Attributes,,00080055,19930101,20991231,
38,2128100039,Instance Availability,Measurement,DICOM,DICOM Attributes,,00080056,19930101,20991231,
39,2128100040,Failed SOP Instance UID List,Measurement,DICOM,DICOM Attributes,,00080058,19930101,20991231,
40,2128100041,Modality,Measurement,DICOM,DICOM Attributes,,00080060,19930101,20991231,
41,2128100042,Modalities in Study,Measurement,DICOM,DICOM Attributes,,00080061,19930101,20991231,
42,2128100043,SOP Classes in Study,Measurement,DICOM,DICOM Attributes,,00080062,19930101,20991231,
43,2128100044,Anatomic Regions in Study Code Sequence,Measurement,DICOM,DICOM Attributes,,00080063,19930101,20991231,
44,2128100045,Conversion Type,Measurement,DICOM,DICOM Attributes,,00080064,19930101,20991231,
45,2128100046,Presentation Intent Type,Measurement,DICOM,DICOM Attributes,,00080068,19930101,20991231,
46,2128100047,Manufacturer,Measurement,DICOM,DICOM Attributes,,00080070,19930101,20991231,
47,2128100048,Institution Name,Measurement,DICOM,DICOM Attributes,,00080080,19930101,20991231,
48,2128100049,Institution Address,Measurement,DICOM,DICOM Attributes,,00080081,19930101,20991231,
49,2128100050,Institution Code Sequence,Measurement,DICOM,DICOM Attributes,,00080082,19930101,20991231,
50,2128100051,Referring Physician's Name,Measurement,DICOM,DICOM Attributes,,00080090,19930101,20991231,
51,2128100052,Referring Physician's Address,Measurement,DICOM,DICOM Attributes,,00080092,19930101,20991231,
52,2128100053,Referring Physician's Telephone Numbers,Measurement,DICOM,DICOM Attributes,,00080094,19930101,20991231,
53,2128100054,Referring Physician Identification Sequence,Measurement,DICOM,DICOM Attributes,,00080096,19930101,20991231,
54,2128100055,Consulting Physician's Name,Measurement,DICOM,DICOM Attributes,,0008009C,19930101,20991231,
55,2128100056,Consulting Physician Identification Sequence,Measurement,DICOM,DICOM Attributes,,0008009D,19930101,20991231,
56,2128100057,Code Value,Measurement,DICOM,DICOM Attributes,,00080100,19930101,20991231,
57,2128100058,Extended Code Value,Measurement,DICOM,DICOM Attributes,,00080101,19930101,20991231,
58,2128100059,Coding Scheme Designator,Measurement,DICOM,DICOM Attributes,,00080102,19930101,20991231,
59,2128100060,Coding Scheme Version,Measurement,DICOM,DICOM Attributes,,00080103,19930101,20991231,
60,2128100061,Code Meaning,Measurement,DICOM,DICOM Attributes,,00080104,19930101,20991231,
61,2128100062,Mapping Resource,Measurement,DICOM,DICOM Attributes,,00080105,19930101,20991231,
62,2128100063,Context Group Version,Measurement,DICOM,DICOM Attributes,,00080106,19930101,20991231,
63,2128100064,Context Group Local Version,Measurement,DICOM,DICOM Attributes,,00080107,19930101,20991231,
64,2128100065,Extended Code Meaning,Measurement,DICOM,DICOM Attributes,,00080108,19930101,20991231,
65,2128100066,Coding Scheme Resources Sequence,Measurement,DICOM,DICOM Attributes,,00080109,19930101,20991231,
