concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2128000010,Length to End,Measurement,DICOM,DICOM Attributes,,00080001,19930101,20991231,
2128000011,Specific Character Set,Measurement,DICOM,DICOM Attributes,,00080005,19930101,20991231,
2128000012,Language Code Sequence,Measurement,DICOM,DICOM Attributes,,00080006,19930101,20991231,
2128000013,Image Type,Measurement,DICOM,DICOM Attributes,,00080008,19930101,20991231,
2128000014,Recognition Code,Measurement,DICOM,DICOM Attributes,,00080010,19930101,20991231,
2128000015,Instance Creation Date,Measurement,DICOM,DICOM Attributes,,00080012,19930101,20991231,
2128000016,Instance Creation Time,Measurement,DICOM,DICOM Attributes,,00080013,19930101,20991231,
2128000017,Instance Creator UID,Measurement,DICOM,DICOM Attributes,,00080014,19930101,20991231,
2128000018,Instance Coercion DateTime,Measurement,DICOM,DICOM Attributes,,00080015,19930101,20991231,
2128000019,SOP Class UID,Measurement,DICOM,DICOM Attributes,,00080016,19930101,20991231,
2128000020,Acquisition UID,Measurement,DICOM,DICOM Attributes,,00080017,19930101,20991231,
2128000021,SOP Instance UID,Measurement,DICOM,DICOM Attributes,,00080018,19930101,20991231,
2128000022,Pyramid UID,Measurement,DICOM,DICOM Attributes,,00080019,19930101,20991231,
2128000023,Related General SOP Class UID,Measurement,DICOM,DICOM Attributes,,0008001A,19930101,20991231,
2128000024,Original Specialized SOP Class UID,Measurement,DICOM,DICOM Attributes,,0008001B,19930101,20991231,
2128000025,Synthetic Data,Measurement,DICOM,DICOM Attributes,,0008001C,19930101,20991231,
2128000026,Study Date,Measurement,DICOM,DICOM Attributes,,00080020,19930101,20991231,
2128000027,Series Date,Measurement,DICOM,DICOM Attributes,,00080021,19930101,20991231,
2128000028,Acquisition Date,Measurement,DICOM,DICOM Attributes,,00080022,19930101,20991231,
2128000029,Content Date,Measurement,DICOM,DICOM Attributes,,00080023,19930101,20991231,
2128000030,Overlay Date,Measurement,DICOM,DICOM Attributes,,00080024,19930101,20991231,
2128000031,Curve Date,Measurement,DICOM,DICOM Attributes,,00080025,19930101,20991231,
2128000032,Acquisition DateTime,Measurement,DICOM,DICOM Attributes,,0008002A,19930101,20991231,
2128000033,Study Time,Measurement,DICOM,DICOM Attributes,,00080030,19930101,20991231,
2128000034,Series Time,Measurement,DICOM,DICOM Attributes,,00080031,19930101,20991231,
2128000035,Acquisition Time,Measurement,DICOM,DICOM Attributes,,00080032,19930101,20991231,
2128000036,Content Time,Measurement,DICOM,DICOM Attributes,,00080033,19930101,20991231,
2128000037,Overlay Time,Measurement,DICOM,DICOM Attributes,,00080034,19930101,20991231,
2128000038,Curve Time,Measurement,DICOM,DICOM Attributes,,00080035,19930101,20991231,
2128000039,Data Set Type,Measurement,DICOM,DICOM Attributes,,00080040,19930101,20991231,
2128000040,Data Set Subtype,Measurement,DICOM,DICOM Attributes,,00080041,19930101,20991231,
2128000041,Nuclear Medicine Series Type,Measurement,DICOM,DICOM Attributes,,00080042,19930101,20991231,
2128000042,Accession Number,Measurement,DICOM,DICOM Attributes,,00080050,19930101,20991231,
2128000043,Issuer of Accession Number Sequence,Measurement,DICOM,DICOM Attributes,,00080051,19930101,20991231,
2128000044,Query/Retrieve Level,Measurement,DICOM,DICOM Attributes,,00080052,19930101,20991231,
2128000045,Query/Retrieve View,Measurement,DICOM,DICOM Attributes,,00080053,19930101,20991231,
2128000046,Retrieve AE Title,Measurement,DICOM,DICOM Attributes,,00080054,19930101,20991231,
2128000047,Station AE Title,Measurement,DICOM,DICOM Attributes,,00080055,19930101,20991231,
2128000048,Instance Availability,Measurement,DICOM,DICOM Attributes,,00080056,19930101,20991231,
2128000049,Failed SOP Instance UID List,Measurement,DICOM,DICOM Attributes,,00080058,19930101,20991231,
2128000050,Modality,Measurement,DICOM,DICOM Attributes,,00080060,19930101,20991231,
2128000051,Modalities in Study,Measurement,DICOM,DICOM Attributes,,00080061,19930101,20991231,
2128000052,SOP Classes in Study,Measurement,DICOM,DICOM Attributes,,00080062,19930101,20991231,
2128000053,Anatomic Regions in Study Code Sequence,Measurement,DICOM,DICOM Attributes,,00080063,19930101,20991231,
