concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2128000010,Length to End,Measurement,DICOM,DICOM Attributes,,"(0008,0001)",19930101,20991231,
2128000011,Specific Character Set,Measurement,DICOM,DICOM Attributes,,"(0008,0005)",19930101,20991231,
2128000012,Image Type,Measurement,DICOM,DICOM Attributes,,"(0008,0008)",19930101,20991231,
2128000013,Instance Creation Date,Measurement,DICOM,DICOM Attributes,,"(0008,0012)",19930101,20991231,
2128000014,Instance Creation Time,Measurement,DICOM,DICOM Attributes,,"(0008,0013)",19930101,20991231,
2128000015,Instance Coercion DateTime,Measurement,DICOM,DICOM Attributes,,"(0008,0015)",19930101,20991231,
2128000016,Study Date,Measurement,DICOM,DICOM Attributes,,"(0008,0020)",19930101,20991231,
2128000017,Series Date,Measurement,DICOM,DICOM Attributes,,"(0008,0021)",19930101,20991231,
2128000018,Acquisition Date,Measurement,DICOM,DICOM Attributes,,"(0008,0022)",19930101,20991231,
2128000019,Content Date,Measurement,DICOM,DICOM Attributes,,"(0008,0023)",19930101,20991231,
2128000020,Overlay Date,Measurement,DICOM,DICOM Attributes,,"(0008,0024)",19930101,20991231,
2128000021,Curve Date,Measurement,DICOM,DICOM Attributes,,"(0008,0025)",19930101,20991231,
2128000022,Acquisition DateTime,Measurement,DICOM,DICOM Attributes,,"(0008,002A)",19930101,20991231,
2128000023,Study Time,Measurement,DICOM,DICOM Attributes,,"(0008,0030)",19930101,20991231,
2128000024,Series Time,Measurement,DICOM,DICOM Attributes,,"(0008,0031)",19930101,20991231,
2128000025,Acquisition Time,Measurement,DICOM,DICOM Attributes,,"(0008,0032)",19930101,20991231,
2128000026,Content Time,Measurement,DICOM,DICOM Attributes,,"(0008,0033)",19930101,20991231,
2128000027,Overlay Time,Measurement,DICOM,DICOM Attributes,,"(0008,0034)",19930101,20991231,
2128000028,Curve Time,Measurement,DICOM,DICOM Attributes,,"(0008,0035)",19930101,20991231,
2128000029,Data Set Type,Measurement,DICOM,DICOM Attributes,,"(0008,0040)",19930101,20991231,
2128000030,Nuclear Medicine Series Type,Measurement,DICOM,DICOM Attributes,,"(0008,0042)",19930101,20991231,
2128000031,Query/Retrieve Level,Measurement,DICOM,DICOM Attributes,,"(0008,0052)",19930101,20991231,
2128000032,Query/Retrieve View,Measurement,DICOM,DICOM Attributes,,"(0008,0053)",19930101,20991231,
2128000033,Instance Availability,Measurement,DICOM,DICOM Attributes,,"(0008,0056)",19930101,20991231,
2128000034,Modality,Measurement,DICOM,DICOM Attributes,,"(0008,0060)",19930101,20991231,
2128000035,Modalities in Study,Measurement,DICOM,DICOM Attributes,,"(0008,0061)",19930101,20991231,
2128000036,Conversion Type,Measurement,DICOM,DICOM Attributes,,"(0008,0064)",19930101,20991231,
2128000037,Presentation Intent Type,Measurement,DICOM,DICOM Attributes,,"(0008,0068)",19930101,20991231,
2128000038,Mapping Resource,Measurement,DICOM,DICOM Attributes,,"(0008,0105)",19930101,20991231,
2128000039,Context Group Version,Measurement,DICOM,DICOM Attributes,,"(0008,0106)",19930101,20991231,
2128000040,Context Group Local Version,Measurement,DICOM,DICOM Attributes,,"(0008,0107)",19930101,20991231,
2128000041,Coding Scheme URL Type,Measurement,DICOM,DICOM Attributes,,"(0008,010A)",19930101,20991231,
2128000042,Context Group Extension Flag,Measurement,DICOM,DICOM Attributes,,"(0008,010B)",19930101,20991231,
2128000043,Context Identifier,Measurement,DICOM,DICOM Attributes,,"(0008,010F)",19930101,20991231,
2128000044,Equipment Modality,Measurement,DICOM,DICOM Attributes,,"(0008,0221)",19930101,20991231,
2128000045,Private Group Reference,Measurement,DICOM,DICOM Attributes,,"(0008,0301)",19930101,20991231,
2128000046,Block Identifying Information Status,Measurement,DICOM,DICOM Attributes,,"(0008,0303)",19930101,20991231,
2128000047,Nonidentifying Private Elements,Measurement,DICOM,DICOM Attributes,,"(0008,0304)",19930101,20991231,
2128000048,Identifying Private Elements,Measurement,DICOM,DICOM Attributes,,"(0008,0306)",19930101,20991231,
2128000049,Deidentification Action,Measurement,DICOM,DICOM Attributes,,"(0008,0307)",19930101,20991231,
