Tag,Name,Keyword,VR,VM
"(0008,0005)",Specific Character Set,Specific​Character​Set,CS,1-n
"(0008,0008)",Image Type,Image​Type,CS,2-n
"(0008,0042)",Nuclear Medicine Series Type,Nuclear​Medicine​Series​Type,CS,1
"(0008,0052)",Query/Retrieve Level,Query​Retrieve​Level,CS,1
"(0008,0053)",Query/Retrieve View,Query​Retrieve​View,CS,1
"(0008,0056)",Instance Availability,Instance​Availability,CS,1
"(0008,0060)",Modality,Modality,CS,1
"(0008,0061)",Modalities in Study,Modalities​In​Study,CS,1-n
"(0008,0064)",Conversion Type,Conversion​Type,CS,1
"(0008,0068)",Presentation Intent Type,Presentation​Intent​Type,CS,1
"(0008,0105)",Mapping Resource,Mapping​Resource,CS,1
"(0008,010A)",Coding Scheme URL Type,Coding​Scheme​URL​Type,CS,1
"(0008,010B)",Context Group Extension Flag,Context​Group​Extension​Flag,CS,1
"(0008,010F)",Context Identifier,Context​Identifier,CS,1
"(0008,0221)",Equipment Modality,Equipment​Modality,CS,1
"(0008,0303)",Block Identifying Information Status,Block​Identifying​Information​Status,CS,1
"(0008,0307)",Deidentification Action,Deidentification​Action,CS,1
"(0008,030A)",Private Data Element Value Representation,Private​Data​Element​Value​Representation,CS,1
"(0008,0403)",Inventory Level,Inventory​Level,CS,1
"(0008,0405)",Removed from Operational Use,Removed​From​Operational​Use,CS,1
"(0008,040A)",Container File Type,Container​File​Type,CS,1
"(0008,040F)",Extended Matching Mechanisms,Extended​Matching​Mechanisms,CS,1-n
"(0008,0415)",Retain Instances,Retain​Instances,CS,1
"(0008,0417)",Transaction Status,Transaction​Status,CS,1
"(0008,0426)",Inventory Completion Status,Inventory​Completion​Status,CS,1
"(0008,2110)",Lossy Image Compression (Retired),Lossy​Image​Compression​Retired,CS,1
"(0008,2200)",Transducer Position,Transducer​Position,CS,1
"(0008,2204)",Transducer Orientation,Transducer​Orientation,CS,1
"(0008,2208)",Anatomic Structure,Anatomic​Structure,CS,1
"(0008,9007)",Frame Type,Frame​Type,CS,4-5
